num,stationCode,stationName,stop_lat,stop_lon
1,NZB,NIZAMABAD,18.678935,78.103008
2,JKM,JANKAMPET JN,18.70235,78.05357
3,NVT,NAVIPET,18.769977,78.012714
4,FKB,FAKHRABAD,18.81648,77.97956
5,BSX,BASAR,18.8656,77.938986
6,DAB,DHARMABAD,18.887934,77.848091
7,SQE,SAMRLA,18.921389,77.792645
8,KEK,KARKHELI,18.944771,77.7384
9,BLSA,BOLSA,19.005484,77.701664
10,UMRI,UMRI,19.04216,77.643042
11,SLGH,SHELGOAN H,19.0802,77.58892
12,SVN,SIVUNGAON,19.10839,77.5441
13,MUE,MUDKHED,19.148087,77.509661
14,MGC,MUGAT,19.17468,77.427092
15,PARD,PATHRAD,19.18457,77.39233
16,NED,NANDED,19.160492,77.310448
