num,stationCode,stationName,stop_lat,stop_lon
1,ASR,AMRITSAR JN,31.633190,74.867230
2,BEAS,BEAS,31.519854,75.291289
3,JUC,JALANDHAR CITY,31.331425,75.591259
4,JRC,JALANDHAR CANT,31.306715,75.632586
5,PGW,PHAGWARA JN,31.217059,75.765367
6,LDH,LUDHIANA JN,30.912387,75.847893
7,CDG,CHANDIGARH,30.701897,76.822000
8,UMB,AMBALA CANT JN,30.338658,76.826706
9,KKDE,KURUKSHETRA JN,29.969100,76.852455
10,KUN,KARNAL,29.694316,76.969571
11,PNP,PANIPAT JN,29.389018,76.963863
12,SNP,SONIPAT,28.989073,77.016993
13,SZM,SUBZI MANDI,28.668550,77.200410
14,NDLS,NEW DELHI,28.641790,77.221750
15,FDB,FARIDABAD,28.411483,77.307358
16,MTJ,MATHURA JN,27.478970,77.673350
17,BTE,BHARATPUR JN,27.236350,77.488800
18,BXN,BAYANA JN,26.916040,77.296440
19,HAN,HINDAUN CITY,26.751860,77.028340
20,GGC,GANGAPUR CITY,26.468220,76.726790
21,SWM,SAWAI MADHOPUR,26.019240,76.356850
22,KOTA,KOTA JN,25.223733,75.880680
23,RMA,RAMGANJ MANDI,24.644326,75.939131
24,SGZ,SHAMGARH,24.191271,75.642972
25,NAD,NAGDA JN,23.456160,75.412731
26,RTM,RATLAM JN,23.340680,75.051126
27,MGN,MEGHNAGAR,22.907329,74.539704
28,DHD,DAHOD,22.843907,74.253674
29,GDA,GODHRA JN,22.776840,73.604790
30,BRC,VADODARA JN,22.310696,73.181005
31,BH,BHARUCH JN,21.703420,72.999550
32,ST,SURAT,21.206418,72.840643
33,NVS,NAVSARI,20.946371,72.913814
34,BL,VALSAD,20.607440,72.933530
35,VAPI,VAPI,20.373480,72.908470
36,DRD,DAHANU ROAD,19.991417,72.743568
37,BVI,BORIVALI,19.229149,72.856822
38,ADH,ANDHERI,19.117139,72.846563
39,BDTS,BANDRA TERMINUS,19.062341,72.840965
