num,stationCode,stationName,stop_lat,stop_lon
1,SPJ,SAMASTIPUR JN,25.858374,85.78743
2,UJP,UJIARPUR,25.780648,85.799875
3,NAZJ,NAZIRGANJ,25.724215,85.806227
4,DSS,DALSINGH SARAI,25.664949,85.841665
5,STJT,SATHAJAGAT,25.63101,85.86797
6,BCA,BACHWARA JN,25.581378,85.900262
7,MPNH,MAJUNUPUR NAVADA HAL,25.53223,85.93147
8,TGA,TEGHRA,25.51057,85.941324
9,BUJ,BARAUNI FLAG,25.47435,85.96512
10,BJU,BARAUNI JN,25.462088,85.989068
